temp_C,n_total,n_flagged,n_kept,pct_kept,rmse_median,dyn_min_used,r_min_used,rmse_factor_used,note,reliability_flag
27,28,1,27,96.43,0.019354,0.15,0.9,3.0,,
28,32,0,32,100.0,0.036766,0.15,0.9,3.0,,
29,40,2,38,95.0,0.028197,0.15,0.9,3.0,,
30,40,0,40,100.0,0.043521,0.15,0.9,3.0,,
31,40,0,40,100.0,0.022326,0.15,0.9,3.0,,
32,40,0,40,100.0,0.024937,0.15,0.9,3.0,,
33,39,0,39,100.0,0.025222,0.15,0.9,3.0,,
34,40,1,39,97.5,0.018176,0.15,0.9,3.0,,
35,39,2,37,94.87,0.023078,0.15,0.9,3.0,,
36,40,1,39,97.5,0.018956,0.15,0.9,3.0,,
37,40,2,38,95.0,0.024373,0.15,0.9,3.0,,
38,39,1,38,97.44,0.03208,0.15,0.9,3.0,,
39,40,1,39,97.5,0.035954,0.15,0.9,3.0,,
40,40,1,39,97.5,0.027909,0.15,0.9,3.0,,
41,35,1,34,97.14,0.041301,0.15,0.9,3.0,,
42,40,0,40,100.0,0.040456,0.15,0.9,3.0,,
43,37,1,36,97.3,0.031332,0.15,0.9,3.0,,
44,39,5,34,87.18,0.059339,0.15,0.9,3.0,,
45,40,39,1,2.5,0.064837,0.15,0.9,3.0,,UNRELIABLE: n_kept<3
